model_id,stage,sample_scope,analysis_panel,dependent_variable,focal_variable,controls,weight_variable,fixed_effects,cluster_level,role,notes,sample_filter,filter_notes
yrp2017_headroom_pre3,policy_exposure_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_sensitivity,"Headroom response restricted to institutions with all three 2014-2016 exposure years observed.",yrp_2017_window_pre3,"Requires three nonmissing pre-period Pell exposure years."
yrp2017_inst_grant_pre3,policy_exposure_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_sensitivity,"Institutional-grant response restricted to institutions with all three 2014-2016 exposure years observed.",yrp_2017_window_pre3,"Requires three nonmissing pre-period Pell exposure years."
yrp2017_headroom_no_2020_2021,policy_exposure_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_sensitivity,"Headroom response excluding 2020 and 2021 from the event window.",yrp_2017_window_no_2020_2021,"Drops 2020 and 2021 rows from the 2014-2023 event window."
yrp2017_inst_grant_no_2020_2021,policy_exposure_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_sensitivity,"Institutional-grant response excluding 2020 and 2021 from the event window.",yrp_2017_window_no_2020_2021,"Drops 2020 and 2021 rows from the 2014-2023 event window."
placebo2016_headroom,policy_exposure_placebo,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2016_Z_X_POST_PLACEBO_2016,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_placebo,"Pre-period placebo headroom check using 2014-2015 exposure and a 2016 placebo post indicator.",placebo_2016_window,"Uses only 2014-2016 rows. This is a pre-trend check, not a policy estimate."
placebo2016_inst_grant,policy_exposure_placebo,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2016_Z_X_POST_PLACEBO_2016,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_placebo,"Pre-period placebo institutional-grant check using 2014-2015 exposure and a 2016 placebo post indicator.",placebo_2016_window,"Uses only 2014-2016 rows. This is a pre-trend check, not a policy estimate."
syfe_yrp2017_headroom,policy_sector_year_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Differential headroom changes after the 2017 year-round Pell restoration with sector-by-year fixed effects.",yrp_2017_window,"Sector-year version of yrp2017_headroom."
syfe_yrp2017_headroom_share,policy_sector_year_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN_SHARE_COA,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Differential headroom-share changes after the 2017 year-round Pell restoration with sector-by-year fixed effects.",yrp_2017_window,"Sector-year version of yrp2017_headroom_share."
syfe_yrp2017_inst_grant,policy_sector_year_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Differential institutional-grant changes after the 2017 year-round Pell restoration with sector-by-year fixed effects.",yrp_2017_window,"Sector-year version of yrp2017_inst_grant."
syfe_yrp2017_pell,policy_sector_year_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,PGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Differential Pell-grant changes after the 2017 year-round Pell restoration with sector-by-year fixed effects.",yrp_2017_window,"Sector-year version of yrp2017_pell."
syfe_yrp2017_federal_loan,policy_sector_year_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,FLOAN_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Differential federal-loan changes after the 2017 year-round Pell restoration with sector-by-year fixed effects.",yrp_2017_window,"Sector-year version of yrp2017_federal_loan."
syfe_yrp2017_event_headroom,policy_sector_year_event_study,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2014,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2015;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2017;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2018;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2019;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2020;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2021;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2022;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2023;OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_event_study,"Event-study headroom coefficients with sector-by-year fixed effects, omitting 2016.",yrp_2017_window,"Sector-year version of yrp2017_event_headroom."
syfe_yrp2017_event_inst_grant,policy_sector_year_event_study,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2014,PELL_EXPOSURE_PRE2017_Z_X_EVENT_2015;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2017;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2018;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2019;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2020;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2021;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2022;PELL_EXPOSURE_PRE2017_Z_X_EVENT_2023;OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_event_study,"Event-study institutional-grant coefficients with sector-by-year fixed effects, omitting 2016.",yrp_2017_window,"Sector-year version of yrp2017_event_inst_grant."
syfe_yrp2017_headroom_pell_dollars_exposure,policy_sector_year_alt,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_PER_FTFT_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Headroom response using pre-2017 Pell dollars per FTFT student as the exposure measure with sector-by-year fixed effects.",yrp_2017_window,"Sector-year version of yrp2017_headroom_pell_dollars_exposure."
syfe_yrp2017_inst_grant_pell_dollars_exposure,policy_sector_year_alt,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_PER_FTFT_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Institutional-grant response using pre-2017 Pell dollars per FTFT student as the exposure measure with sector-by-year fixed effects.",yrp_2017_window,"Sector-year version of yrp2017_inst_grant_pell_dollars_exposure."
syfe_yrp2017_headroom_pre3,policy_sector_year_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Headroom response restricted to institutions with all three 2014-2016 exposure years observed, with sector-by-year fixed effects.",yrp_2017_window_pre3,"Sector-year version of yrp2017_headroom_pre3."
syfe_yrp2017_inst_grant_pre3,policy_sector_year_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Institutional-grant response restricted to institutions with all three 2014-2016 exposure years observed, with sector-by-year fixed effects.",yrp_2017_window_pre3,"Sector-year version of yrp2017_inst_grant_pre3."
syfe_yrp2017_headroom_no_2020_2021,policy_sector_year_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Headroom response excluding 2020 and 2021, with sector-by-year fixed effects.",yrp_2017_window_no_2020_2021,"Sector-year version of yrp2017_headroom_no_2020_2021."
syfe_yrp2017_inst_grant_no_2020_2021,policy_sector_year_sensitivity,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_POST_YRP_2017,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_check,"Institutional-grant response excluding 2020 and 2021, with sector-by-year fixed effects.",yrp_2017_window_no_2020_2021,"Sector-year version of yrp2017_inst_grant_no_2020_2021."
syfe_placebo2016_headroom,policy_sector_year_placebo,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2016_Z_X_POST_PLACEBO_2016,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_placebo,"Pre-period placebo headroom check with sector-by-year fixed effects.",placebo_2016_window,"Sector-year version of placebo2016_headroom."
syfe_placebo2016_inst_grant,policy_sector_year_placebo,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2016_Z_X_POST_PLACEBO_2016,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_sector_year_placebo,"Pre-period placebo institutional-grant check with sector-by-year fixed effects.",placebo_2016_window,"Sector-year version of placebo2016_inst_grant."
max_pell_real_headroom,policy_max_pell_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_REAL_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_main,"Headroom response to annual real maximum Pell changes interacted with pre-2017 Pell intensity.",max_pell_window,"Uses 2014-2023 rows. Focal variable is pre-2017 Pell exposure times the annual real maximum Pell change measured in hundreds of 2023 dollars."
max_pell_real_inst_grant,policy_max_pell_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_REAL_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_main,"Institutional-grant response to annual real maximum Pell changes interacted with pre-2017 Pell intensity.",max_pell_window,"Uses 2014-2023 rows. This is the main repeated maximum Pell institutional-grant check."
max_pell_real_pell,policy_max_pell_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,PGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_REAL_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_check,"Pell-grant response to annual real maximum Pell changes interacted with pre-2017 Pell intensity.",max_pell_window,"Outcome check for whether the exposure design moves Pell dollars as expected."
max_pell_real_federal_loan,policy_max_pell_fe,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,FLOAN_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_REAL_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_check,"Federal-loan response to annual real maximum Pell changes interacted with pre-2017 Pell intensity.",max_pell_window,"Loan outcome check for the repeated maximum Pell design."
syfe_max_pell_real_headroom,policy_max_pell_sector_year,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_REAL_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_max_pell_sector_year,"Headroom response to annual real maximum Pell changes with sector-by-year fixed effects.",max_pell_window,"Sector-year version of max_pell_real_headroom."
syfe_max_pell_real_inst_grant,policy_max_pell_sector_year,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_REAL_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;SECTOR_YEAR,UNITID,policy_max_pell_sector_year,"Institutional-grant response to annual real maximum Pell changes with sector-by-year fixed effects.",max_pell_window,"Sector-year version of max_pell_real_inst_grant."
max_pell_nominal_headroom,policy_max_pell_nominal,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_nominal,"Headroom response to nominal maximum Pell changes interacted with pre-2017 Pell intensity.",max_pell_window,"Nominal-dollar check. Main design uses real maximum Pell changes."
max_pell_nominal_inst_grant,policy_max_pell_nominal,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,IGRNT_PER_FTFT_COHORT,PELL_EXPOSURE_PRE2017_Z_X_PELL_MAX_AWARD_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_nominal,"Institutional-grant response to nominal maximum Pell changes interacted with pre-2017 Pell intensity.",max_pell_window,"Nominal-dollar check. Main design uses real maximum Pell changes."
max_pell_large_increase_headroom,policy_max_pell_large,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2017_Z_X_PELL_LARGE_INCREASE,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_large,"Headroom response in large maximum Pell increase years interacted with pre-2017 Pell intensity.",max_pell_window,"Large-increase check using the registry flag for maximum Pell increases of at least 150 dollars."
max_pell_placebo_headroom,policy_max_pell_placebo,public_private_nonprofit,policy_exposure_panel_public_private_nonprofit.parquet,HEADROOM_MAIN,PELL_EXPOSURE_PRE2016_Z_X_PELL_MAX_AWARD_REAL_DELTA_100,OPEN_ADMISSIONS_FLAG;LN_SCFA1N;LN_FIN_TOTAL_REVENUE;LN_FIN_TOTAL_EXPENSES;LN_FIN_TOTAL_ASSETS,,UNITID;year,UNITID,policy_max_pell_placebo,"Pre-2017 placebo headroom response to real maximum Pell changes interacted with pre-2016 Pell intensity.",max_pell_placebo_window,"Uses 2014-2016 rows only. This is a pre-period check for the repeated maximum Pell design."
